화학물질_한글명,울산_출현건수,CHEM_SBSTN_ENG_NM,CAS_NO,UN_MNG_NO,RDTMP_STTS_NM,SBSTN_COLR_NM,SMELL_SPCQLT_NM,유별_위험물분류
IR-1141,4,Phenol|2|4-dimethyl-6-(1-methylpentadecyl),7732-18-5,,,,,
염소산 나트륨[염소산 염류],4,Sodium chlorate[Chloric acid| salts],7775-09-09,1495.0,고체,무색| 백색 또는 담황색,무취,
에틸벤젠,4,Ethylbenzene,100-41-4,1175.0,액체,무색,아로마 향| 톡 쏘는 냄새| 가솔린 냄새,
윤활기유,4,,64742-54-7,,,,,
BLUE CRUDE,4,,147-14-8,,,,,
항공유,4,항공유,,,,,,
첨가제,4,,9002-93-1,,,,,
요소,4,UREA,57-13-6,,,,,
삼차-뷰틸 히드로과산화물,4,tert-Butyl hydroperoxide,75-91-2,3105.0,액체,무색투명 또는 담황색,무취| 석유와 유사한 특이한 냄새,
POLY OXY PROPYLENE GLYCOL(PPG-1000),4,,25322-69-4,,,,,
디메틸아세트아미드,4,N|N-DIMETHYLACETAMIDE,127-19-5,,,,,
황산 디메틸,4,Dimethyl sulfate,77-78-1,1595.0,액체,무색,무취,
염소,4,Chlorine,7782-50-5,1017.0,기체,푸르스름한 노란색 또는 황색,자극적인 냄새(표백제),
시클로헥산,4,Cyclohexane,110-82-7,1145.0,액체,무색,달콤한 냄새,
펜탄,4,Pentane,109-66-0,1265.0,액체(36C 이상에서 기체),무색,기분 좋은 냄새| 가솔린 냄새,
스틸렌,4,Styrene,100-42-5,2055.0,"액체(유성액| 점성액)


",노란빛의 무색,아로마향| 달콤한 꽃향,
비스(2-에틸헥실)프탈산,4,Bis(2-ethylhexyl)phthalate,117-81-7,3082.0,액체,무색,무취 또는 약한 냄새,
무수말레인산,3,MALEIC ANHYDRIDE,108-31-6,,,,,
메틸 아크릴산,3,Methyl acrylate,96-33-3,1919.0,휘발성 액체,무채색,과일향,
중유,3,,,,,,,
초산 제2부틸,3,sec-Butyl acetate,105-46-4,1123.0,액체,무색,기분좋은 과일 냄새,
염화 벤질,3,Benzyl chloride,100-44-7,1738.0,액체,무채색에서 노란색,자극적인 냄새***취기한계 : 0.047ppm,
옥텐,3,Octene,111-66-0,3295.0,액체,무색,특이한 냄새,
테트라하이드로퓨란,3,Tetrahydrofuran,109-99-9,2056.0,액체,무색투명,에테르 냄새| 과일냄새,
P-100,3,,068-12-2,,,,,
에틸렌글리콜디메타크릴레이트,3,Ethylene glycol dimethacrylate,97-90-5,3334.0,액체,무색,,
아세토니트릴,3,Acetonitrile,1975-05-08,1648.0,액체,무색,아로마향| 에테르 냄새,
디메틸포름아미드,3,Dimethylformamide,1968-12-02,2265.0,액체,무색| 매우 옅은 노랑색,비린내| 옅은 아민 향,
디이소노닐 프탈레이트,3,Diisononyl phthalate,28553-12-0,,액체(점성액| 오일),무색/투명,매우 약한 냄새,
메틸 에테르,3,Methyl ether,115-10-6,1033.0,기체| 액체,무색,에테르 냄새,
아질산 나트륨[아질산 염류],3,Sodium nitrite[Nitrous acid| salts],7632-00-0,1500.0,고체(능면정계 프리즘| 미립자| 분말),무색 또는 황색,무취,
트리에탄올 아민,3,Triethanol amine,102-71-6,2733.0,액체(점성액),무색| 옅은 노란색,약한 암모니아 냄새,
산화 에틸렌,3,Ethylene oxide,75-21-8,1040.0,압축 액화가스,무채색,달콤한 냄새,
스티렌모노머,3,Stylene Monomer,,,,,,
시클로펜탄,3,Cyclopentane,287-92-3,1146.0,액체,무색,순한 단 냄새,
CE 1631,3,CE 1631,64742-47-8,,,,,
이산화탄소,3,Carbon dioxide,124-38-9,,기체| 액체| 고체(액화압축가스로 운송됨| 고체형태는 드라이 아이스로 이용됨),기체| 액체: 무색| 고체: 흰색,무취,
아이소부틸 아세테이트,2,Isobutyl acetate,110-19-0,1213.0,액체,무색/투명,과일향(배냄새)| 꽃향(장미냄새),
디옥틸 프탈레이트,2,Dioctyl phthalate,117-84-0,8027.0,액체(오일),투명,무취,
BPO(Di benzoly  peroxide ) ,2,,90-51-7,,,,,
TK 촉매,2,,"7780-30-3
7550-45-0
84-69-5
110-54-3",,,,,
TPG,2,TPG,,,,,,
트리알릴 아이소시아누르산염,2,TRIALLYL ISOCYANURATE,1025-15-6,,,,,
Polyethylene Glycol(PEG-4000),2,,25322-68-3,,,,,
폐윤활유,2,,,,,,,
프로필렌테트라마,2,Propylene Tetramer,6842-15-5,,,,,
중질연성알킬벤젠,2,Heavy Linear Alkylbenzene,68515-26-4,,,,,
헥사메틸렌디아민,2,Hexamethylenediamine,124-09-4,2280.0,고체(마름모꼴의 양추 판),무색,피페리딘 냄새| 약한 생선 냄새,
디에탄올아민,2,Diethanolamine,111-42-2,,고체(결정형)| 액체(점성액| 27.77C 이상),무색 고체| 흰색 액체,순한 암모니아 냄새,
열분해가솔린,2,RPG,,,,,,
실리카와 폴리에테르|실리콘오일 혼합물,2,NOPCO(Nopco24FD),,,,,,
프로필렌 글리콜(PG),2,1|2-PROPYLENE GLYCOL,57-55-6,,,,,
부탄올,2,Butanol,71-36-3,1120.0,액체,무색,아밀 알코올 향,
메틸 에틸 케톤,2,Methyl ethyl ketone,78-93-3,1193.0,액체(휘발성),무색 투명,박하 및 달콤한 냄새| 아세톤 냄새,
원예비료,2,원예비료,,,,,,
아스팔트,2,,,,,,,
LCN,2,LCN,,,,,,
중질경성알킬벤젠,2,Heavy Branched Alkylbenzene,68515-32-2,,,,,
칼슘,2,CALCIUM,7440-70-2,1401.0,,,,
트리에틸인산염,2,TRIETHYL PHOSPHATE,78-40-0,,,,,
에틸렌 글리콜 메틸 에테르,2,Ethylene Glycol Methyl ether,111-77-3,1993.0,액체,무색,에테르 냄새| 순한 기분 좋은 냄새,
메틸 이소부틸 케톤,2,Methyl isobutyl ketone,108-10-1,1245.0,액체,무색,상쾌한 냄새| 희미한 케톤과 장뇌(캠퍼) 냄새,
TBPB,2,Tert butyl peroxy benzoate,614-45-9,,,,,
NON-ARO,2,,64742-73-0,,,,,
디이소부틸카르비놀,1,Diisobutylcarbinol,108-82-7,1993.0,액체,무색,특이한 향기,
뷰틸 벤질 프탈산,1,Butyl benzyl phthalate,85-68-7,3082.0,액체(오일),투명함,약한 냄새,
톨루엔-2|4-다이아이소시아네이트,1,Toluene-2|4-diisocyanate (TDI),584-84-9,2078.0,액체,다양한 색상,변화하는 냄새,
메틸아민,1,Methylamine,74-89-5,,가스,무채색,암모니아 냄새,
벤조일퍼옥사이드(과산화 벤조일),1,Benzoyl peroxide,94-36-0,3106.0,고체(결정| 분말),무색에서 흰색,희미한 벤즈알데히드 냄새,
알킬 벤젠,1,Alkyl benzene,68648-87-3,,액체,무색,매우 약한 냄새,
메틸아세테이트,1,Methyl acetate,79-20-9,1231.0,액체(휘발성),무색,과일 냄새,
2-에틸 헥실 아크릴산,1,2-Ethyl hexyl acrylate,103-11-7,3334.0,액체,무색,쾌적한 냄새,
글리옥살,1,GLYOXAL,107-22-2,,,,,
히드라진 수화물,1,Hydrazine hydrate,7803-57-8,2030.0,액체,무색,암모니아 냄새,
과산화수소35%,1,,7722-81-1,,,,,
IPA,1,,68526-85-2,,,,,
ALKENOX TBM,1,,,,,,,
정제연료유,1,,,,,,,
계면 활성제,1,AEROSOL  A-102,,,,,,
염화 메틸,1,Methyl chloride,74-87-3,1063.0,기체,무채색,달콤한 냄새,
MDI,1,MDI,,,,,,
디메틸아민,1,Dimethylamine,124-40-3,1032.0,액체| 액화가스,무색,암모니아 냄새| 생선 냄새,
디클로로메탄,1,Dichloromethane,1975-09-02,1593.0,액체,무색,달콤한 향| 클로로포름 냄새,
Potassium Persulfate(KPS),1,Potassium Persulfate(KPS),7727-21-1,,,,,
리포메이트,1,리포메이트,,,,,,
솔벤트,1,Slovent,64741-91-9,,,,,
윤활유(ATF-3),1,,,,,,,
Para Methane Hydroperoxide (PMH),1,,,,,,,
THERMS-300(열매유),1,,"DIPHENYL OR BIPHENYL 92-52-4
DIPHENYL ETHER 101-84-8",,,,,
SONGNOX 2.6 DTBP,1,,96-76-4,,,,,
DTBP-MA,1,,6386-38-5,,,,,
페놀,1,Phenol,108-95-2,,고체,무색 또는 백색,달콤한 향 또는 타르냄새,
도료류,1,도료류,,,,,,
혼합C4,1,C4S,,,,,,
프로필렌 글리콜 모노메틸 에테르,1,Propylene glycol monomethyl ether,107-98-2,3092.0,액체,무색/투명,"단 에테르 냄새


***취기한계


10 ppm에서 검지됨",
트리페닐 인산,1,Triphenylphosphate,115-86-6,,고체,무채색에서 흰색까지,이상한 악취,
경질유(LGO),1,LGO,,,,,,
소듐메틸레이트,1,Sodium Methylate,124-41-4,,,,,
디에틸 에테르,1,Diethyl ehther,60-29-7,1155.0,액체(휘발성 액체),무색,에테르 냄새| 달콤하고 자극적인 냄새,
사이안화 수소,1,Hydrogen cyanide,74-90-8,1051.0,기체나 액체,무색,아몬드 냄새| 쓴 복숭아 냄새,
메틸(2-)테트라히드로퓨란-3-온,1,,3188-00-9,1224.0,,,,
알파메틸스티렌,1,Alpha-methylstyrene,,,,,,
에톡실레이티드 노닐페놀(EO-10) [노닐페놀류],1,Ethoxylated nonylphenol(EO-10) [Nonylphenols],9016-45-9,8027.0,액체(점성),독특한 냄새,,
부틸 아크릴산,1,Butyl acrylate,141-32-2,2348.0,액체,무색/투명함,향긋한 냄새| 과일향,
